tag;question;ans_1;ans_2;ans_3;ans_4;timer;ans_correct
DNR;Kuri iš išvardintų DNR sekų yra komplimentari sekai: 5'-ACG-3'?;5'-CGT-3';5'-TGC-3';5'-GTA-3';5'-ATG-3';90;1
DNR;Kokia organelė atsakinga už rRNR sintezę?;Branduolėlis;Ribosoma;Šiurkštusis endoplazminis tinklas;Branduolys;90;1
DNR;Koks fermentas yra būtinas vykdant polimerazės grandininę reakciją?;Taq polimerazė;Girazė;DNR ligazė;Topoizomerazė;90;1
DNR;Kuris iš įtariamojo ėminių būtų tinkamas ištirti jo genomą?;Nago nuokarpa;Žarnyno bakterijos;Trombocitai;Eritrocitai;90;1
DNR;Kaip vadinama žiedinė DNR randama bakterijose?;Plazmidės;Satelitai;Transportinė DNR;Mitochondrinė DNR;90;1
DNR;Kokio proceso metu eukariotuose yra sintetinama RNR?;Transkripcijos;Transliacijos;Replikacijos;Duplikacijos;90;1
DNR;Dvigrandėje DNR sekoje nustatėte, jog 21% nukleotidų yra adeninas. Kiek sekoje yra timino?;21%;79%;29%;42%;90;1
DNR;Dvigrandėje DNR sekoje nustatėte, jog 21% nukleotidų yra adeninas. Kiek sekoje yra guanino?;29%;79%;21%;42%;90;1
DNR;Kuri iš šių sekų turėtų aukščiausią lydimo tašką suporavus su komplementaria seka?;5’-CGCGCGCG-3’;5’-AAAAAAAA-3’;5’-TTTTGGGG-3’;5’-TATATATA-3’;90;1
DNR;Kuris iš šių baltymų asocijuojasi su DNR branduolyje?;Histonai;Albuminas;Citochromai;Miozinas;90;1
Fiziologija;Kuris organas tiesiogiai kontaktuoja su atmosferos oru?;Plaučiai;Širdis;Smegenys;Kepenys;90;1
Botanika;Kaip vaisiai prisidėjo prie gaubtasėklių plitimo?;Palengvindami sėklų sklidimą;Maitindami sėklas;Pritraukdami vabzdžius;Sukurdami triploidines ląsteles;90;1
Botanika;Kurios augalų grupės gametofitas ir sporofitas yra nepriklausomi vienas nuo kito?;Asiūkliniai;Samanūnai;Magnolijūnai;Pušūnai;90;1
Botanika;Vidutinių platumų augalo žiotelės paprastai būna praviros, kai...;...augalui reikia CO2;…sumažėja dirvos pH.;...pučia stiprus vėjas.;...dirva yra sausa.;90;1
Botanika;Kuri apvaisinta ląstelė sėklapradyje formuoja sėklos embrioną?;Kiaušialąstė;Sinergidė;Antipodė;Centrinė ląstelė;90;1
Fiziologija;Koks hormonas skatina eritrocitų gamybą?;Eritropoetinas;Kortizolis;Paratiroidinis hormonas;Epinefrinas;90;1
Fiziologija;Kuris iš šių organų sunyksta žmogui subrendus?;Užkrūčio liauka;Skydliaukė;Protiniai dantys;Smegenų žievė;90;1
Fiziologija;Paciento pH sumažėjo iki 7,25. Kas nutiks pacientui?;Kvėpuos greičiau -> bikarbonato koncentracija sumažės.;Kvėpuos greičiau -> bikarbonato koncentracija padidės;Kvėpuos lėčiau -> bikarbonato koncentracija padidės;Kvėpuos lėčiau -> bikarbonato koncentracija sumažės;90;1
Citologija;Kurioje mitochondrijos vietoje pH yra mažiausias?;Tarpmembraniniame tarpe;Už mitochondrijos ribų;Mitochondrijos matrikse;pH visur vienodas;90;1
Fiziologija;Kuris iš šių hormonų slopina diurezę ir skatina skysčių reabsorbciją inkstuose?;Aldosteronas;Epinefrinas;Kortizolis;Kalcitoninas;90;1
Biosistematika;Koks taksonominis vienetas eina po genties?;Rūšis;Karalystė;Šeima;Būrys;90;1
Citologija;Kokioje organelėje vyksta ATP sintezė?;Mitochondrijoje;Branduolyje;Goldžio komplekse;Šiurkščiajame endoplazminiame tinkle;90;1
Citologija;Iš kokios makromolekulės klasės dažniausiai sudaryta ląstelės sienelė?;Angliavandenių;Riebalų;Baltymų;Fosfolipidų;90;1
Fiziologija;Kokia tulžies funkcija?;Padidinti riebalų paviršiaus plotą;Skaidyti riebalus;Skaidyti angliavandenius;Apsaugoti fermentus nuo denatūracijos;90;1
Fiziologija;Kokių medžiagų pradės trūkti žmogui, kuris vengs vartoti maistą su riebalais?;Kai kurių vitaminų;Mineralų;Angliavandenių;Baltymų;90;1
Botanika;Kokia auksino funkcija?;Skatinti stiebo tįsimą;Skatinti užsiversti žioteles;Skatinti žydėjimą;Skatinti sėklų dygimą;90;1
Botanika;Kokiai augalų klasei būdingas indų kulelių išsidėstymas ratu?;Dviskilčiai;Samanūnai;Sporiniai induočiai;Vienskilčiai;90;1
Fiziologija;Kuri antikūnų klasė gali praeiti pro placentą?;IgG;IgM;IgA;IgE;90;1
Fiziologija;Kuri antikūnų klasė yra susijusi su alerginėmis reakcijomis?;IgE;IgG;IgM;IgA;90;1
Fiziologija;Kaip vadinamos antikūnus sintetinančios ląstelės?;Plazminės ląstelės;T limfocitai;Makrofagai;Neutrofilai;90;1
Fiziologija;Jeigu skirtume vaisto, kuris sutraukia lygiuosius raumenis, kurios kraujagyslės sureaguotų?;Arterijos;Kapiliarai;Venos;Vaistą reikėtų suleisti, jog jis veiktų;90;1
Fiziologija;Kokie simptomai tikėtini žmogui, kuriam trūksta vitamino C?;Skausmingi sąnariai ir raumenys;Dažni peršalimai;Aukštas kraujo spaudimas;Suprastėjusi rega;90;1
DNR;Kuo skiriasi DNR nuo RNR?;RNR turi papildomą OH grupę;DNR turi papildomą OH grupę;RNR skiriasi 2 nukleotidais;DNR ir RNR nesiskiria;90;1
Fiziologija;Kuris iš šių hormonų nėra peptidas?;Estradiolis;Insulinas;Oksitocinas;Prolaktinas;90;1
Biosistematika;Iš kokių dviejų rangų susideda lotyniškas rūšies pavadinimas?;Genties ir rūšies;Šeimos ir rūšies;Tipo ir klasės;Genties ir šeimos;90;1
Mikrobiologija;Kaip vadinamas nelytinis mielių dauginimosi būdas?;Pumpuravimasis;Mitozė;Mejozė;Skilimas;90;1
Genetika;Kaip vadinami genai, kilę iš to paties protėvio ir atliekantys panašią funkciją?;Homologai;Ortologai;Analogai;Antilogai;90;1
Citologija;Kurios iš šių struktūrų mielės neturi?;Nukleoido;Vakuolės;Endoplazminio tinklo;Lizosomos;90;1
Fiziologija;Į kurią stambią kraujagyslę kraujas yra išstumiamas iš kairiojo skilvelio?;Aortą;Tuščiąją veną;Plautinę veną;Plautinę arteriją;90;1
Biochemija;Kokios makromolekulės yra kaspazių substratas?;Baltymai;DNR;RNR;Lipidai;90;1
Botanika;Kurią iš šių žiedo dalių reikia pašalinti, jog nesubręstų sėkla?;Liemenėlį;Kuokelius;Vainiklapius;Taurėlapius;90;1
Fiziologija;Ko neišskiria egzokrininės liaukos?;Hormonų;Lipidų;Baltymų;Fermentų;60;1
Fiziologija;Kokia maistinė medžiaga yra absorbuojama iš žarnyno į limfagysles?;Monogliceridai;Amino rūgštys;Angliavandeniai;Elektrolitai;60;1
Citologija;Kokios jungtys dominuoja tarp žarnyno epitelio ląstelių?;Glaudžiosios;Plyšinės;Dezmosomos;Plazmodezmos;60;1
Citologija;Kokios jungtys dominuoja tarp žarnyno lygiųjų raumenų ląstelių?;Plyšinės;Glaudžiosios;Dezmosomos;Plazmodezmos;60;1
Fiziologija;Kokia antgerklio funkcija?;Apsaugoti apatinius kvėpavimo takus nuo maisto;Leisti valgyti ir kvėpuoti vienu metu;Artikuliuoti sudėtingus garsus;Receptoriais jausti nuodingas medžiagas;60;1
Citologija;Iš kokio tipo raumeninio audinio sudarytas liežuvis?;Skersaruožių griaučių raumenų;Skersaruožių širdies raumenų;Lygiųjų raumenų;Liežuvis nesudarytas iš raumeninio audinio;60;1
Fiziologija;Kokios funkcijos neatlieka seilių liaukų sekretas?;Aktyvuoti skrandžio fermentus;Didinti burnos pH;Skaidyti angliavandenius;Tirpinti medžiagas, jog pajustume jų skonį;60;1
Fiziologija;Dėl kokios priežasties kasos fermentai įprastai neardo kasos audinio?;Kasa išskiria profermentus, kurie yra neaktyvūs ;Ne kasa, o kepenys išskiria fermentus;Kasos latakų pH slopina fermentų veiklą;Kasos fermentai neskaido lipidų;60;1
Fiziologija;Kokių medžiagų absorbciją vyksta storojoje žarnoje?;Vandens ir elektrolitų;Angliavandenių;Lipidų;Baltymų;60;1
Biochemija;Kas nutiks išgėrus kolageno papildų?;Kolagenas bus suskaidytas į amino rūgštis ir absorbuotas;Kolagenas bus absorbuotas ir pateks į odą;Kolagenas nusės žarnyno jungiamajame audinyje;Kolagenas pasišalins su išmatomis;60;1
Citologija;Kaip vadinamas DNR ir histonų kompleksas, kuris yra karoliuko formos?;Nukleosoma;Chromatidė;Kinetochoras;Chromatinas;60;1
Biochemija;Kurios molekulės hidrolizės produktas yra vieno tipo monomeras?;DNR;Glikogenas;Trigliceridai;Baltymai;60;2
DNR;Jeigu seka yra 5'-AATGCTA-3', kokia bus komplementari DNR seka?;5'-TAGCATT-3';5'-UAGCAUU-3';5'-TTACGAT-3';5'-ATCGTAA-3';60;1
Genetika;Vienas iš žmogaus fermento alelių yra neveiksnus, bet žmogus yra sveikas. Kokia alelių sąveika?;Pilnas dominavimas;Nepilnas dominavimas;Kodominavimas;Superdominavimas;60;1
Citologija;Koks jonas lemia, jog įvyksta ląstelės repoliarizacija?;Cl-;Na+;K+;Ca++;60;3
Biochemija;Koks yra visų organinių junginių pagrindas?;Anglis;Azotas;Siera;Deguonis;60;1
Biochemija;Kiek anglies atomų turi gliukozė?;6;5;7;4;60;1
Biochemija;Kuri iš šių amino rūgščių nėra polinė?;Alaninas;Serinas;Tirozinas;Aspariginas;60;1
Biochemija;Kurioje organelėje vyksta baltymų sintezė?;Ribosomose;Branduolyje;Goldžio komplekse;Lizosomose;60;1
Biochemija;Kokie yra du pagrindiniai antrinės struktūros tipai?;Beta klostės ir alfa spiralės;Beta spiralės ir alfa klostės;Beta statinės ir alfa klostės;Gama spiralės ir beta klostės;60;1
Biochemija;Kuris iš šių ryšių nedalyvauja baltymo tretinės struktūros susidaryme?;Peptidinis ryšys;Disulfidiniai ryšiai;Hidrofobinės sąveikos;Vandeniliniai ryšiai;60;1
Biochemija;Kuris iš šių baltymų neturi ketvirtinės struktūros?;Pepsinas;Kolagenas;Hemoglobinas;Proinsulinas;60;1
Biochemija;Kuris iš šių procesų yra katabolinis?;Beta grupių atskelimas nuo riebalų r.;Glikogeno sintezė iš gliukozės;Peptidinių ryšių sudarymas;Gliukozės fosforilinimas;60;1
Biochemija;Kuris iš šių procesų yra anabolinis?;DNR sintezė;Glikolizė;Beta grupių atskelimas nuo riebalų r.;Baltymo skaidymas į amino rūgštis;60;1
Biochemija;Kaip fermentai spartina reakciją?;Mažina aktyvacijos energiją;Suteikia aktyvacijos energiją;Yra reaktyvesni substratai reakcijoje;Aktyvuoja ET membraną skatinti reakciją;60;1
Biochemija;Kuris iš šių baltymų nėra fermentas?;Kolagenas;Pepsinas;Lipazė;Ligazė;60;1
Biochemija;Kas yra Km Michaelis-Menten formulėje?;Fermento afinitetas substratui;Reakcijos greitis;Substrato koncentracija;Fermento koncentracija;60;1
Biochemija;Kas turi didėti, jog katalizuojama reakcija pasiektų Vmax?;Substrato konc;Fermento konc;Laikas;Produkto konc;60;1
Biochemija;Kuriame iš šių organų vyksta daugiausia metabolinių kelių?;Kepenyse;Širdyje;Raumenyse;Inkstuose;60;1
Biochemija;Kuris iš šių kelių susijęs su Acetyl-CoA metabolizmu?;Krebso ciklas;Šlapalo ciklas;Glikogeno sintezė;Pentozių sintezė;60;1
Biochemija;Kokios reakcijos metu sunaudojama energija?;Endergoninės;Eksergoninės;;;30;1
Biochemija;Kokiu būdu fermentai padidina reakcijos greitį?;Sumažina reakcijai reikalingos energijos kiekį;Suteikia energijos, kad reakcija vyktų greičiau;Sumažina aktyvacijos energiją;Padidina aktyvacijos energiją;30;3
Biochemija;Koks fermentų reguliavimo būdas pats lėčiausias?;Genų raiškos pokyčiai;Alosterinė reguliacija;Fosforilinimas;Kooperatyvumas;30;1
Biochemija;Kaip galime padidinti Vmax;Įdėti daugiau substrato;Įdėti daugiau fermento;Įdėti daugiau produkto;Neįmanoma padidinti Vmax;30;2
Biochemija;Kaip veikia konkurentinis inhibitorius?;Sumažina maksimalų įmanomą reakcijos greitį;Sumažina Km;Padidina Km;Padidina maksimalų įmanomą reakcijos greitį;30;3
Biochemija;Kokį struktūros lygmenį pažeistų junginys, jei nutrauktų disulfidinius tiltelius baltymuose?;Pirminį;Antrinį;Tretinį;Ketvirtinį;30;3,4
Biochemija;Krebso ciklas vyksta?;Citozolyje;Tarpląsteliniame skystyje;Branduolyje;Matrikse;20;4
Biochemija;Kuri iš šių molekulių nesusijusi su Krebso ciklu ir elektronų pernašos grandine?;NADH;FADH2;NADPH;Citochromas C;30;3
Biochemija;Koks terminas geriausiai apibūdintų ATP susidaryma PEP verčiant piruvatu?;Oksidacinis fosforilinimas;Enzimatinis fosforilinimas;Produktinis fosforilinimas;Substracinis fosforilinimas;30;4
Biochemija;X + 2 H+ + 2e- -> XH2. Kas pažymėta X?;FAD;NAD+;;;20;1
Biochemija;Kokio proceso metu susidaro piruvatas?;Beta oksidacijos;Alfa oksidacijos;Gamma oksidacijos;Glikolizės;20;4
Biochemija;Kurio proceso metu susidaro daugiausiai ATP iš gliukozės?;Glikolizė;Krebso ciklas;Oksidacinis fosforilinimas;Beta oksidacijos;30;3
Biochemija;Kiek suminio ATP susidaro glikolizės metu? (nekreipiant dėmesio į NADH);1;2;3;4;20;2
Biochemija;Kiek anglies atomų sudaro acetil-KoA? (neskaičiuojant KoA anglies atomų);1;2;3;4;20;2
Biochemija;Kuris iš šių veiksnių sumažintų oksidacinio fosforilinimo efektyvumą? (keli teisingi atsakymai);Vidinės membranos pažeidimas;pH sumažėjimas tarpmembraninėje erdvėje;pH padidėjimas tarpmembraninėje erdvėje;Laktato dehidrogenazės inhibicija;40;1,3
Biochemija;Kas yra oksidacinio fosforilinimo energijos šaltinis?;Šiluma;ATP koncentracijos gradientas;H+ koncentracijos gradientas;Kinetinė energija;20;3
Biochemija;Kaip keisis kraujo pH intensyviai vykstant anaerobinei glikolizei?;Mažės;Didės;;;30;1
Biochemija;Kas teiks daugiau energijos elekronų pernašos grandinei?;NADH;FADH2;;;20;1
Biochemija;Oksidacinio fosforilinimo baltymai yra ant ______ mitochondrijos membranos.;Išorinės;Vidinės;;;20;2
Biochemija;Piruvato oksidacinis dekarboksilinimas vyksta?;Citozolyje;Tarpmembraninėje erdvėje;Matrikse;Tarpląsteliniame skystyje;30;3
Biochemija;pH yra mažesnis?;Tarpmembraninėje erdvėje;Matrikse;;;20;1
Botanika;Kuris iš šių organizmų būtų heterotrofas?;Melsvabakterė;Žaliadumblis;Bitė;Ąžuolas;20;3
Botanika;Kur kaupiamas krakmolas?;Amiloplastuose;Chloroplastuose;Mitochondrijose;Vakuolėje;30;1
Botanika;Kur sintezuojamas krakmolas lapuose?;Amiloplastuose;Chloroplastuose;Mitochondrijose;Vakuolėje;30;2
Botanika;Kurią fotosistemą turi pirmykštės fotosintetinančios bakterijos?;I;II;III;IV;20;1
Botanika;Kur yra mažesnis pH;Granoje;Stromoje;Tarpmembraninėje erdvėje;Citoplazmoje;30;1
Botanika;Prie ko prijungiamas CO2 Kalvino ciklo pradžioje?;Rubisco;RuBP;3-PG;G3P;20;2
Botanika;Koks anglies fiksavimo būdas būdingas būtų ananasui?;C3;C4;CAM;;30;3
Botanika;Kas fiksuos anglį C4 būdu?;Cukranendrė;Ąžuolas;Kaktusas;Ryžiai;30;1
Botanika;Kada CAM ciklo metu vyksta G3P sintezė?;Dieną;Naktį;;;30;1
Botanika;Kas NEVYKSTA šviesos reakcijų metu?;Fotolizė;ATP sintezė;NADPH sintezė;Anglies fiksacija;30;4
Botanika;Kaip vadinasi medžiagų pernaša per plazmodezmas?;Simplastinė;Apoplastinė;Mezoplastinė;Plazmoplastinė;20;1
Botanika;Kas suteikia sienelei elastingumo?;Pektinas;Celiuliozė;Ligninas;Subarinas;30;1
Botanika;Kokie jonai susijė su augalo ląstelės elongacija?;H+;Ca2+;Na+;K+;20;1
Botanika;Kurios ląstelės sienelėje turės daug lignino?;Parenchimos;Kolenchimos;Sklerechimos;Meristemos;30;1
Botanika;Kokia stiebo adaptacija leidžia braškėms daugytis nelytiškai?;Rizomai;Svogūnai;Braškės;Ūsai;20;4
Botanika;Kuri šaknies dalis atsakinga už selektyvumą medžiagų pernašoje?;Epidermis;Mezodermis;Endodermis;Ektodermis;30;3
Botanika;Kokia bakterijų gentis yra gyvybiškai svarbi ankštiniams augalams?;Rhizobium;Streptococcus;Cyanobacteria;Listeria;20;1
Botanika;Stiebo storėjimas - tai?;Pirminis augimas;Antrinis augimas;;;20;2
Botanika;Hormonas susijęs su ilgėjimu;Etenas;Giberelinas;Auksinas;Abscisinė rūgštis;30;3
Botanika;Kokį hormoną mes turėtume blokuoti, norėdami stabdyti bananų nokimą?;Eteną;Gibereliną;Auksiną;Abscisinę rūgtį;30;1
Botanika;Koks yra gametofito didžiosios dalies ląstelių branduolys?;Haploidinis;Diploidinis;;;20;1
Botanika;Gametofito dalis, kurioje susidaro kiaušialąstė;Anteridė;Archegonija;Sporofitas;Kapsulė;30;2
Botanika;Kurios augalų grupės dominuojanti forma yra gametofitas?;Sporinių induočių;Samanūnų;Gaubtasėklių;Plikasėklių;30;2
Botanika;Koks yra sporofito didžiosios dalies ląstelių branduolys?;Haploidinis;Diploidinis;;;20;2
Botanika;Ką sudaro sporinių induočių sporangės?;Sporofitą;Sorus;Šaknis;Žiedadulkes;30;2
Botanika;Iš ko susidaro apyvaisis?;Purkos;Sėklapradžio;Mezingės dalių;Žiedsosčio;30;3
Botanika;Iš ko susidaro žiedadulkė?;Megasporos;Mikrosporos;Mikrosporangės;Megasporangės;20;2
Botanika;Žiedadulkės patekimas ant purkos - tai?;Apvaisinimas;Apžiedadulkinimas;Apdulkinimas;Reprodukcija;30;3
Botanika;Spermatozoidai žiedadulkėje susidaro iš?;Vegetatyvinės ląstelės;Dulkiadaigio ląstelės;Generatyvinės ląstelės;Mikrosporangės;30;3
Botanika;Netaisyklinga šaknų sistema būdinga:;Vienskilčiams;Dviskilčiams;;;20;1
Botanika;Du kotiledonai būdingi:;Vienskilčiams;Dviskilčiams;;;20;2
Botanika;Apytakinis audinys išsidėstęs žiedu būdinga:;Vienskilčiams;Dviskilčiams;;;20;2
Genetika;Kurioje ląstelės ciklo fazėje intensyviausiai vyksta nukleotidų sintezė?;S;M;G1;G2;30;1
Genetika;Kas atsiskiria I mejozės fazės metu;Chromosomos;Chromatidės;;;20;1
Genetika;Kokie baltymai sudaro chromosomą?;DNR;histonai;telomeros;chromatidės;30;2
Genetika;Kas yra mikrovamzdelių sintezės centras gyvūnų ląstelėse;Branduolys;Centriolės;Centromeros;Goldžio kompleksas;30;2
Genetika;Kiek chromosomų turi diploidinė žmogaus ląstelė?;44;46;48;42;20;2
Genetika;Kuri ląstelė yra nuolatos G0 fazėje?;Neuronas;Epiteliocitas;Fibroblastocitas;Hepatocitas;30;1
Genetika;Kas jungia chromatides?;Centriolė;Centrosoma;Centromera;Kinetochoras;30;3
Genetika;Kurioje fazėje chromosomos išsilygiuoja vienoje ploktšumoje?;Profazė;Metafazė;Anafazė;Telofazė;30;2
Genetika;Kurioje fazėje prasideda krosingoveris;Profazė;Metafazė;Anafazė;Telofazė;30;1
Genetika;Kurioje fazėje vyksta citokinezė?;Profazė;Metafazė;Anafazė;Telofazė;30;4
Genetika;Kurioje fazėje įsijungia kinetochorai?;Profazė;Metafazė;Anafazė;Telofazė;30;3
Genetika;Kurioje fazėje sustotų mitozė, jei sustabdytume kinetochorų veikimą?;Profazė;Metafazė;Anafazė;Telofazė;30;2
